Civ_Draft,draft_host,draft_guest,Preset,player,executingPlayer,actionType,Civ,isRandomlyChosen,offset,action,PickNo,FirstPick,GlobalBan,Picker
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,ban,Bohemians,FALSE,18233,NA,2,0,1,Capoch
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,ban,Armenians,FALSE,28049,NA,3,0,1,Capoch
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,HOST,HOST,ban,Chinese,FALSE,29696,NA,4,0,1,MbL
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,HOST,HOST,ban,Cumans,FALSE,30586,NA,5,0,1,MbL
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,ban,Portuguese,FALSE,57819,NA,6,0,1,Capoch
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Malay,FALSE,65121,NA,1,1,0,MbL
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Malay,FALSE,70210,NA,2,1,0,Capoch
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Persians,FALSE,102100,NA,3,0,0,Capoch
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Mayans,FALSE,103629,NA,4,0,0,MbL
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Spanish,FALSE,104411,NA,5,0,0,MbL
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Magyars,FALSE,129365,NA,6,0,0,Capoch
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Hindustanis,FALSE,135801,NA,7,0,0,Capoch
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Mongols,FALSE,164059,NA,8,0,0,MbL
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Saracens,FALSE,168007,NA,9,0,0,MbL
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Italians,FALSE,187213,NA,10,0,0,Capoch
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,GUEST,GUEST,pick,Vikings,FALSE,205097,NA,11,0,0,Capoch
CgxAf,mb,Capoch,Hidden Cup 5 Qualifier Bo5,HOST,HOST,pick,Dravidians,FALSE,235286,NA,12,0,0,MbL
cnQGV,Kasva,Target331,Hidden Cup 5 Qualifier Bo3,HOST,HOST,ban,Portuguese,FALSE,12691,NA,1,0,1,Kasva
cnQGV,Kasva,Target331,Hidden Cup 5 Qualifier Bo3,GUEST,GUEST,ban,Byzantines,FALSE,18949,NA,2,0,1,Target331
